paidparkingarea,date,avg_occupancy_rate,peak_occupancy_rate,total_spaces,n_blockfaces
12th Avenue,2018-01-02,0.31332120455019613,1.0,468.0,7
Ballard,2018-01-02,0.6181853637283014,1.0,3408.0,29
Ballard Locks,2018-01-02,0.02111111111111111,0.08333333333333333,120.0,1
Belltown,2018-01-02,0.4465366712991706,1.0,12067.95081967213,132
Capitol Hill,2018-01-02,0.4121975050499735,1.0,3369.0,25
Cherry Hill,2018-01-02,0.1426087446098411,0.6666666666666666,516.0,4
Chinatown/ID,2018-01-02,0.40586141030042605,1.0,2690.065573770492,38
Columbia City,2018-01-02,0.4171808226495727,1.0,522.0,6
Commercial Core,2018-01-02,0.38582856621156464,1.0,5763.081967213115,80
Denny Triangle,2018-01-02,0.4416629387893006,1.0,3322.5,54
First Hill,2018-01-02,0.13528096560725164,1.0,6696.0,82
Fremont,2018-01-02,0.4820549993987494,1.0,553.0,6
Green Lake,2018-01-02,0.6068741520824854,1.0,810.0,13
Pike-Pine,2018-01-02,0.46495435542767793,1.0,5448.0,55
Pioneer Square,2018-01-02,0.4081801870293184,1.0,2132.0,36
Roosevelt,2018-01-02,0.44764917695473255,1.0,559.0,6
South Lake Union,2018-01-02,0.33807408515022924,1.0,9798.467213114754,122
University District,2018-01-02,0.41546546714571814,1.0,4953.8442622950815,43
Uptown,2018-01-02,0.36939054115582715,1.0,4243.0,43
Uptown Triangle,2018-01-02,0.6442900266904956,1.0,995.0,9
12th Avenue,2018-01-03,0.408129867331548,1.0,468.0,7
Ballard,2018-01-03,0.6586506841777401,1.0,3408.0,29
Belltown,2018-01-03,0.48161451453878856,1.0,12194.02418364638,133
Capitol Hill,2018-01-03,0.4013737925267135,1.0,3369.0,25
Cherry Hill,2018-01-03,0.14423649875952507,0.8888888888888888,516.0,4
Chinatown/ID,2018-01-03,0.42214069089517897,1.0,2674.0,38
Columbia City,2018-01-03,0.38014304368471036,1.0,522.0,6
Commercial Core,2018-01-03,0.37902028773176644,1.0,5888.581967213115,81
Denny Triangle,2018-01-03,0.45666855687969726,1.0,3323.532786885246,54
First Hill,2018-01-03,0.14153871527217166,1.0,6858.0,83
Fremont,2018-01-03,0.5138932904649817,1.0,552.9672131147541,6
Green Lake,2018-01-03,0.6033271859313526,1.0,810.0,13
Pike-Pine,2018-01-03,0.4711984895692608,1.0,5361.950819672131,54
Pioneer Square,2018-01-03,0.4403781621250734,1.0,2202.0,37
Roosevelt,2018-01-03,0.437640759446315,1.0,559.0,6
South Lake Union,2018-01-03,0.3674971716226544,1.0,9444.11475409836,116
University District,2018-01-03,0.45343069840815525,1.0,4953.8442622950815,43
Uptown,2018-01-03,0.38266786549869886,1.0,4305.0,42
Uptown Triangle,2018-01-03,0.6745393922355417,1.0,995.0,9
12th Avenue,2018-01-04,0.4364398954026055,1.0,468.0,7
Ballard,2018-01-04,0.6453800016218286,1.0,3408.0,29
Belltown,2018-01-04,0.4818812298368548,1.0,12253.025956920716,133
Capitol Hill,2018-01-04,0.4088350396188408,1.0,3369.0,25
Cherry Hill,2018-01-04,0.1560966019847599,1.0,516.0,4
Chinatown/ID,2018-01-04,0.4332280408627373,1.0,2674.065573770492,38
Columbia City,2018-01-04,0.41012657288698956,1.0,522.0,6
Commercial Core,2018-01-04,0.42573091791135315,1.0,5906.581967213115,81
Denny Triangle,2018-01-04,0.47796393534175774,1.0,3334.5,54
First Hill,2018-01-04,0.16640242594443444,1.0,6738.0,81
Fremont,2018-01-04,0.5139331117548029,1.0,553.0,6
Green Lake,2018-01-04,0.5374169888753223,1.0,810.0,13
Pike-Pine,2018-01-04,0.4858464576574465,1.0,5476.0,56
