paidparkingarea,hour_of_day,day_of_week,avg_occupancy_rate
12th Avenue,8,0,0.11910336356764928
12th Avenue,8,1,0.11745842781557067
12th Avenue,8,2,0.0680331403728397
12th Avenue,8,3,0.09518943688586545
12th Avenue,8,4,0.09628779289493575
12th Avenue,8,5,0.16441627604607345
12th Avenue,9,0,0.13197704081632652
12th Avenue,9,1,0.19319727891156463
12th Avenue,9,2,0.14421282795986978
12th Avenue,9,3,0.186932634164777
12th Avenue,9,4,0.155900888133031
12th Avenue,9,5,0.19825663537989843
12th Avenue,10,0,0.15230914588057445
12th Avenue,10,1,0.21336923658352228
12th Avenue,10,2,0.20619528172762674
12th Avenue,10,3,0.19714663643235072
12th Avenue,10,4,0.2093131141345427
12th Avenue,10,5,0.20583238851095992
12th Avenue,11,0,0.21038879440665154
12th Avenue,11,1,0.263213813303099
12th Avenue,11,2,0.2349088141604605
12th Avenue,11,3,0.24701341647770217
12th Avenue,11,4,0.2433517573696145
12th Avenue,11,5,0.25729535573252804
12th Avenue,12,0,0.2668131141345427
12th Avenue,12,1,0.30690995842781554
12th Avenue,12,2,0.2987570474901024
12th Avenue,12,3,0.2595020786092214
12th Avenue,12,4,0.2932312925170068
12th Avenue,12,5,0.2388631695847738
12th Avenue,13,0,0.3278618669690098
12th Avenue,13,1,0.2914021164021164
12th Avenue,13,2,0.30113034362365415
12th Avenue,13,3,0.2844798752834467
12th Avenue,13,4,0.2765131330309901
12th Avenue,13,5,0.28972771023302935
12th Avenue,14,0,0.27587159863945576
12th Avenue,14,1,0.25937405517762663
12th Avenue,14,2,0.27568681815281915
12th Avenue,14,3,0.22121078987150417
12th Avenue,14,4,0.19746740362811788
12th Avenue,14,5,0.31547284585392543
12th Avenue,15,0,0.20796579743008314
12th Avenue,15,1,0.19302154195011337
12th Avenue,15,2,0.25199971655328796
12th Avenue,15,3,0.22285619803476944
12th Avenue,15,4,0.1616010015117158
12th Avenue,15,5,0.27440726567742424
12th Avenue,16,0,0.15293509070294786
12th Avenue,16,1,0.20214002267573697
12th Avenue,16,2,0.2440382676605762
12th Avenue,16,3,0.21958286092214663
12th Avenue,16,4,0.1423615835222978
12th Avenue,16,5,0.20903667535544865
12th Avenue,17,0,0.17543367346938776
12th Avenue,17,1,0.24255054799697653
12th Avenue,17,2,0.2992104059330424
12th Avenue,17,3,0.24561885865457292
12th Avenue,17,4,0.23997023809523807
12th Avenue,17,5,0.24745210527133227
12th Avenue,18,0,0.26359835600907033
12th Avenue,18,1,0.2759580498866213
12th Avenue,18,2,0.3445524972231335
12th Avenue,18,3,0.4132053099017384
12th Avenue,18,4,0.40303099017384736
12th Avenue,18,5,0.39827981716795735
12th Avenue,19,0,0.25936885865457293
12th Avenue,19,1,0.34534486016628874
12th Avenue,19,2,0.36065584361839353
12th Avenue,19,3,0.3649527588813303
12th Avenue,19,4,0.41886574074074073
12th Avenue,19,5,0.3822375681922046
15th Avenue E,8,0,0.21262433862433863
15th Avenue E,8,1,0.22518650793650793
15th Avenue E,8,2,0.2503694383064049
15th Avenue E,8,3,0.2594021164021164
15th Avenue E,8,4,0.2576516754850088
15th Avenue E,8,5,0.13587006628960652
15th Avenue E,9,0,0.3391481481481481
15th Avenue E,9,1,0.3864594356261023
15th Avenue E,9,2,0.4140249596580024
15th Avenue E,9,3,0.39610317460317457
15th Avenue E,9,4,0.32155114638447974
15th Avenue E,9,5,0.1948858351451496
15th Avenue E,10,0,0.3298059964726631
15th Avenue E,10,1,0.3729470899470899
15th Avenue E,10,2,0.42417070377772076
15th Avenue E,10,3,0.3932742504409171
15th Avenue E,10,4,0.3472072310405644
15th Avenue E,10,5,0.24688591597254964
15th Avenue E,11,0,0.287413139329806
15th Avenue E,11,1,0.3554369488536155
15th Avenue E,11,2,0.3353813696845995
15th Avenue E,11,3,0.41084435626102295
15th Avenue E,11,4,0.4084898589065256
15th Avenue E,11,5,0.343965080093868
15th Avenue E,12,0,0.28340652557319224
15th Avenue E,12,1,0.31602513227513224
15th Avenue E,12,2,0.3851568138861729
15th Avenue E,12,3,0.3414409171075838
15th Avenue E,12,4,0.40045767195767196
15th Avenue E,12,5,0.33530735566341624
15th Avenue E,13,0,0.3419166666666667
15th Avenue E,13,1,0.385152557319224
15th Avenue E,13,2,0.40586810611194024
15th Avenue E,13,3,0.3802636684303351
15th Avenue E,13,4,0.4246543209876543
15th Avenue E,13,5,0.38975119718462986
15th Avenue E,14,0,0.3745811287477954
15th Avenue E,14,1,0.4095555555555555
15th Avenue E,14,2,0.40264420447401056
15th Avenue E,14,3,0.4030718694885361
15th Avenue E,14,4,0.3720582010582011
15th Avenue E,14,5,0.3739028461568656
15th Avenue E,15,0,0.36601455026455026
15th Avenue E,15,1,0.3681909171075838
15th Avenue E,15,2,0.459482565186236
15th Avenue E,15,3,0.38726719576719576
15th Avenue E,15,4,0.32480335097001767
15th Avenue E,15,5,0.31081216931216926
15th Avenue E,16,0,0.28917945326278655
15th Avenue E,16,1,0.3680542328042328
15th Avenue E,16,2,0.43775156678793986
15th Avenue E,16,3,0.4240890652557319
15th Avenue E,16,4,0.34307231040564373
15th Avenue E,16,5,0.22038227513227512
15th Avenue E,17,0,0.26057363315696647
15th Avenue E,17,1,0.37247089947089945
15th Avenue E,17,2,0.3249771450928595
15th Avenue E,17,3,0.3320696649029982
15th Avenue E,17,4,0.35351190476190475
15th Avenue E,17,5,0.2348061833514372
15th Avenue E,18,0,0.2992067901234568
15th Avenue E,18,1,0.37902072310405643
15th Avenue E,18,2,0.38449243765544794
15th Avenue E,18,3,0.3631904761904762
15th Avenue E,18,4,0.48302028218694887
15th Avenue E,18,5,0.28509209723367956
15th Avenue E,19,0,0.35856746031746034
15th Avenue E,19,1,0.4019351851851852
15th Avenue E,19,2,0.43995384839336804
15th Avenue E,19,3,0.4146600529100529
15th Avenue E,19,4,0.4662663139329806
15th Avenue E,19,5,0.28292144991970264
Ballard,8,0,0.1749965916726959
Ballard,8,1,0.1831057291062036
Ballard,8,2,0.17664627210058512
Ballard,8,3,0.176879784488161
Ballard,8,4,0.21110934644396231
Ballard,8,5,0.11205414902958559
Ballard,9,0,0.2921622910768144
Ballard,9,1,0.3003119637983297
Ballard,9,2,0.3018423385756323
Ballard,9,3,0.3095127134175876
Ballard,9,4,0.31838105930354094
Ballard,9,5,0.23435912181454102
Ballard,10,0,0.36282928968052386
Ballard,10,1,0.4129992910108368
Ballard,10,2,0.40853446373676133
Ballard,10,3,0.4147671538905539
Ballard,10,4,0.42917751262239484
Ballard,10,5,0.4258897697297704
Ballard,11,0,0.40461305209434384
Ballard,11,1,0.42488327869696835
Ballard,11,2,0.47813316289654184
Ballard,11,3,0.46422533459255166
Ballard,11,4,0.46146101114306004
Ballard,11,5,0.5216324222905074
Ballard,12,0,0.45584285075378383
Ballard,12,1,0.4283819300157353
Ballard,12,2,0.484541608023512
Ballard,12,3,0.46007979015187506
Ballard,12,4,0.517211283468472
Ballard,12,5,0.5403152399988993
Ballard,13,0,0.46508389573980596
Ballard,13,1,0.47636081708733374
Ballard,13,2,0.495268165059825
Ballard,13,3,0.4720198762804913
Ballard,13,4,0.5489657429713071
Ballard,13,5,0.592977635241445
Ballard,14,0,0.4556293694157831
Ballard,14,1,0.4621348419677722
Ballard,14,2,0.45469785312005895
Ballard,14,3,0.4663624739564419
Ballard,14,4,0.4997661018181297
Ballard,14,5,0.5983299096943322
Ballard,15,0,0.42623307452287534
Ballard,15,1,0.4425881031083063
Ballard,15,2,0.41096353156808635
Ballard,15,3,0.41306622699441
Ballard,15,4,0.46495325761287887
Ballard,15,5,0.5759942355544485
Ballard,16,0,0.41963692234262046
Ballard,16,1,0.43530767443121826
Ballard,16,2,0.4198850585303196
Ballard,16,3,0.41299077747222407
Ballard,16,4,0.4713530243024599
Ballard,16,5,0.5269369818831457
Ballard,17,0,0.39435503624535245
Ballard,17,1,0.45372852486230414
Ballard,17,2,0.4421609434911576
Ballard,17,3,0.4481088965032592
Ballard,17,4,0.48114113931675123
Ballard,17,5,0.522952512911644
Ballard,18,0,0.42556529363870477
Ballard,18,1,0.5067231438428501
Ballard,18,2,0.5364835593687638
Ballard,18,3,0.5032855544646557
Ballard,18,4,0.5781394136828638
Ballard,18,5,0.5723874599906483
Ballard,19,0,0.38681988537444256
Ballard,19,1,0.5170990468896366
Ballard,19,2,0.5659870090195828
Ballard,19,3,0.4977983259945096
Ballard,19,4,0.5651238015773739
Ballard,19,5,0.564629102714975
Ballard Blocks,8,0,0.09476829268292683
Ballard Blocks,8,1,0.06950316169828365
Ballard Blocks,8,2,0.11389256810691752
Ballard Blocks,8,3,0.16494083107497742
Ballard Blocks,8,4,0.11375564588979221
Ballard Blocks,8,5,0.09789747064137307
Ballard Blocks,9,0,0.188377145438121
Ballard Blocks,9,1,0.22950632339656732
Ballard Blocks,9,2,0.14585364885162821
