paidparkingarea,infra_type,n_new_spaces,current_occupancy,current_spaces,total_construction_cost,annual_debt_service,annual_operating_cost,total_annual_cost,annual_space_hours_at_target,revenue_per_posted_dollar,breakeven_rate_per_hour,rate_within_legal_cap,demand_supports_expansion,viable
12th Avenue,surface_lot,50,0.254,10.0,250000,18979.0,40000,58979.0,150240.0,150240.0,0.39,True,False,False
12th Avenue,surface_lot,100,0.254,10.0,500000,37959.0,80000,117959.0,300480.0,300480.0,0.39,True,False,False
12th Avenue,surface_lot,250,0.254,10.0,1250000,94897.0,200000,294897.0,751200.0,751200.0,0.39,True,False,False
15th Avenue E,surface_lot,50,0.371,8.0,250000,18979.0,40000,58979.0,150240.0,150240.0,0.39,True,False,False
15th Avenue E,surface_lot,100,0.371,8.0,500000,37959.0,80000,117959.0,300480.0,300480.0,0.39,True,False,False
15th Avenue E,surface_lot,250,0.371,8.0,1250000,94897.0,200000,294897.0,751200.0,751200.0,0.39,True,False,False
Ballard,surface_lot,50,0.448,15.0,250000,18979.0,40000,58979.0,150240.0,150240.0,0.39,True,False,False
Ballard,surface_lot,100,0.448,15.0,500000,37959.0,80000,117959.0,300480.0,300480.0,0.39,True,False,False
Ballard,surface_lot,250,0.448,15.0,1250000,94897.0,200000,294897.0,751200.0,751200.0,0.39,True,False,False
Ballard Blocks,surface_lot,50,0.269,23.0,250000,18979.0,40000,58979.0,150240.0,150240.0,0.39,True,False,False
Ballard Blocks,surface_lot,100,0.269,23.0,500000,37959.0,80000,117959.0,300480.0,300480.0,0.39,True,False,False
Ballard Blocks,surface_lot,250,0.269,23.0,1250000,94897.0,200000,294897.0,751200.0,751200.0,0.39,True,False,False
Ballard Locks,surface_lot,50,0.41,46.0,250000,18979.0,40000,58979.0,150240.0,150240.0,0.39,True,False,False
Ballard Locks,surface_lot,100,0.41,46.0,500000,37959.0,80000,117959.0,300480.0,300480.0,0.39,True,False,False
