blockfacename,paidparkingarea,paidparkingsubarea,lat,lon,spaces,time_limit,n_meters
10TH AVE BETWEEN E MADISON ST AND E SENECA ST,Pike-Pine,,47.611985525,-122.319351095,9,120.0,2
10TH AVE BETWEEN E PIKE ST AND E PINE ST,Pike-Pine,,47.614681595,-122.31945234,22,120.0,2
10TH AVE BETWEEN E SENECA ST AND E UNION ST,Pike-Pine,,47.61255333,-122.31939925,14,240.0,2
10TH AVE BETWEEN E UNION ST AND E PIKE ST,Pike-Pine,,47.61350782,-122.31943865,12,120.0,2
11TH AVE BETWEEN E HOWELL ST AND E DENNY WAY,Capitol Hill,South,47.61813722,-122.31831508,28,240.0,1
11TH AVE BETWEEN E MADISON ST AND E UNION ST,Pike-Pine,,47.612599134999996,-122.31810673999999,10,120.0,2
11TH AVE BETWEEN E OLIVE ST AND E HOWELL ST,Capitol Hill,South,47.61696889,-122.31829651,29,240.0,1
11TH AVE BETWEEN E PIKE ST AND E PINE ST,Pike-Pine,,47.614688715,-122.31815853,20,120.0,2
11TH AVE BETWEEN E PINE ST AND E OLIVE ST,Capitol Hill,South,47.615867805,-122.318169325,28,240.0,2
11TH AVE BETWEEN E UNION ST AND E PIKE ST,Pike-Pine,,47.61351289,-122.31812558,5,120.0,2
11TH AVE NE BETWEEN DEAD END 1 AND NE 41ST ST,University District,Edge,47.656608015,-122.316701835,8,240.0,2
11TH AVE NE BETWEEN EASTLAKE AVE NE AND NE 42ND ST,University District,Edge,47.657915435,-122.316665215,13,240.0,2
11TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,University District,Edge,47.65909494,-122.31664243,31,240.0,2
11TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,University District,Edge,47.66220585,-122.31659916,17,240.0,1
11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,University District,Edge,47.66400789,-122.31642786,15,240.0,1
12TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,12th Avenue,,47.607120769999995,-122.316780185,10,120.0,2
12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,12th Avenue,,47.608644055,-122.31677994500001,12,120.0,2
12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,12th Avenue,,47.60982038,-122.31677966000001,14,120.0,2
12TH AVE BETWEEN E JAMES CT AND E CHERRY ST,12th Avenue,,47.60770872,-122.3168854,3,120.0,1
12TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,12th Avenue,,47.606539444999996,-122.31678037500001,6,120.0,2
12TH AVE BETWEEN E MADISON ST AND E PIKE ST,Pike-Pine,,47.61351303,-122.31685301499999,16,120.0,2
12TH AVE BETWEEN E MARION ST AND E SPRING ST,12th Avenue,,47.610992519999996,-122.31679128,16,120.0,2
12TH AVE BETWEEN E PIKE ST AND E PINE ST,Pike-Pine,,47.614690010000004,-122.31684511,14,120.0,2
12TH AVE BETWEEN E PINE ST AND E OLIVE ST,Capitol Hill,South,47.61587269,-122.316863905,19,120.0,2
12TH AVE BETWEEN E SPRING ST AND E MADISON ST,12th Avenue,,47.61220999,-122.316785075,7,120.0,2
12TH AVE NE BETWEEN NE 41ST ST AND NE 42ND ST,University District,Core,47.65760159,-122.31559203,17,120.0,1
12TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,University District,Core,47.65908193,-122.31555312,15,120.0,1
12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,University District,Core,47.66058075,-122.31554617,8,120.0,1
12TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,University District,Core,47.662225595,-122.31536616,22,120.0,2
12TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,University District,Core,47.66401355,-122.31535216,21,120.0,1
12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,Roosevelt,,47.67537128,-122.31575129,6,240.0,1
12TH AVE NE BETWEEN NE CAMPUS WB PY AND NE 41ST ST,University District,Core,47.65655643,-122.31563166,6,120.0,1
13TH AVE BETWEEN E MADISON ST AND E PIKE ST,Pike-Pine,,47.61373142,-122.31562933,4,120.0,1
13TH AVE BETWEEN E PIKE ST AND E PINE ST,Pike-Pine,,47.6147267,-122.31559256,9,120.0,1
14TH AVE BETWEEN E PIKE ST AND E PINE ST,Pike-Pine,,47.614697199999995,-122.314245285,17,120.0,2
14TH AVE BETWEEN E UNION ST AND E MADISON ST,Pike-Pine,,47.613399365,-122.314219915,7,120.0,2
14TH AVE NW BETWEEN NW 46TH ST AND NW BALLARD WAY,Ballard Blocks,,47.66256564,-122.37374114,4,120.0,1
15TH AVE BETWEEN E MADISON ST AND E PINE ST,Pike-Pine,,47.61491973,-122.31278084,20,120.0,2
15TH AVE E BETWEEN E DENNY WAY AND E JOHN SR ST,15th Avenue E,,47.61909083,-122.31273645499999,14,120.0,2
15TH AVE E BETWEEN E HARRISON N ST AND E REPUBLICAN S ST,15th Avenue E,,47.622593905,-122.312636535,12,120.0,2
15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15th Avenue E,,47.62375522,-122.31262724,18,120.0,2
15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,15th Avenue E,,47.62153917,-122.312659955,7,120.0,2
15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,15th Avenue E,,47.620817625,-122.31269608,3,120.0,2
15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,University District,Core,47.65902135,-122.31210101,5,120.0,1
15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,University District,Core,47.66050168,-122.31206204,6,120.0,1
15TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,University District,Edge,47.66219312,-122.311950785,24,240.0,2
15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,University District,Edge,47.663980715,-122.311953705,40,240.0,2
15TH AVE NE BETWEEN NE BOAT W ST AND NE PACIFIC ST,University District,Core,47.65233251,-122.31333738,9,120.0,1
16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,15th Avenue E,,47.61909629,-122.31147313,5,120.0,1
16TH AVE E BETWEEN E JOHN ST AND E THOMAS ST,15th Avenue E,,47.62008696,-122.31144321,7,120.0,1
