blockfacename,paidparkingarea,avg_occupancy,peak_hour_occupancy,spaces,hours_over_target,hours_under_target,hours_on_target,mean_adjustment,max_adjustment,min_adjustment,peak_hour,primary_action,paidparkingsubarea,lat,lon,time_limit,n_meters
12TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,12th Avenue,0.302,0.528,10.0,0,12,0,-1.708,-0.75,-2.0,12,decrease,,47.60712077,-122.316780185,120.0,2
12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,12th Avenue,0.156,0.21,12.0,0,12,0,-2.0,-2.0,-2.0,10,decrease,,47.608644055,-122.316779945,120.0,2
12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,12th Avenue,0.285,0.416,14.0,0,12,0,-1.792,-1.25,-2.0,19,decrease,,47.60982038,-122.31677966,120.0,2
12TH AVE BETWEEN E JAMES CT AND E CHERRY ST,12th Avenue,0.205,0.384,3.0,0,12,0,-1.938,-1.5,-2.0,12,decrease,,47.60770872,-122.3168854,120.0,1
12TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,12th Avenue,0.291,0.462,6.0,0,12,0,-1.729,-1.0,-2.0,12,decrease,,47.606539445,-122.316780375,120.0,2
12TH AVE BETWEEN E MARION ST AND E SPRING ST,12th Avenue,0.237,0.461,16.0,0,12,0,-1.833,-1.0,-2.0,18,decrease,,47.61099252,-122.31679128,120.0,2
12TH AVE BETWEEN E SPRING ST AND E MADISON ST,12th Avenue,0.298,0.579,7.0,0,12,0,-1.688,-0.5,-2.0,19,decrease,,47.61220999,-122.316785075,120.0,2
15TH AVE E BETWEEN E DENNY WAY AND E JOHN SR ST,15th Avenue E,0.351,0.46,14.0,0,12,0,-1.604,-1.0,-2.0,19,decrease,,47.61909083,-122.312736455,120.0,2
15TH AVE E BETWEEN E HARRISON N ST AND E REPUBLICAN S ST,15th Avenue E,0.35,0.573,12.0,0,12,0,-1.521,-0.5,-2.0,19,decrease,,47.622593905,-122.312636535,120.0,2
15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15th Avenue E,0.296,0.402,18.0,0,12,0,-1.75,-1.25,-2.0,18,decrease,,47.62375522,-122.31262724,120.0,2
15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,15th Avenue E,0.551,0.632,7.0,0,12,0,-0.625,-0.25,-2.0,18,decrease,,47.62153917,-122.312659955,120.0,2
15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,15th Avenue E,0.31,0.437,3.0,0,12,0,-1.729,-1.25,-2.0,14,decrease,,47.620817625,-122.31269608,120.0,2
16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,15th Avenue E,0.308,0.419,5.0,0,12,0,-1.771,-1.25,-2.0,15,decrease,,47.61909629,-122.31147313,120.0,1
16TH AVE E BETWEEN E JOHN ST AND E THOMAS ST,15th Avenue E,0.339,0.461,7.0,0,12,0,-1.667,-1.0,-2.0,9,decrease,,47.62008696,-122.31144321,120.0,1
E DENNY WAY BETWEEN 15TH AVE AND 16TH AVE,15th Avenue E,0.246,0.319,4.0,0,12,0,-1.958,-1.75,-2.0,19,decrease,,47.6185543,-122.31209469,120.0,1
E REPUBLICAN ST BETWEEN 15TH N AVE E AND 16TH AVE E,15th Avenue E,0.335,0.604,5.0,0,12,0,-1.5,-0.25,-2.0,19,decrease,,47.62326036,-122.311983705,120.0,2
E THOMAS ST BETWEEN 15TH S AVE E AND 16TH AVE E,15th Avenue E,0.513,0.662,2.0,0,12,0,-0.812,-0.25,-1.5,11,decrease,,47.62055062,-122.31204969,120.0,1
20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,Ballard,0.683,0.934,7.0,3,6,3,-0.312,0.25,-1.75,18,decrease,Edge,47.66906738,-122.38212831,240.0,2
20TH AVE NW BETWEEN RUSSELL AVE NW AND NW MARKET ST,Ballard,0.503,0.694,12.0,0,12,0,-0.875,-0.25,-2.0,19,decrease,Edge,47.66831505,-122.382130495,240.0,2
22ND AVE NW BETWEEN BALLARD AVE NW AND NW MARKET ST,Ballard,0.566,0.757,16.0,0,7,5,-0.542,0.0,-2.0,13,decrease,Core,47.66818396,-122.384745545,120.0,2
22ND AVE NW BETWEEN NW 56TH ST AND NW 57TH ST,Ballard,0.516,0.649,11.0,0,12,0,-0.771,-0.25,-2.0,13,decrease,Edge,47.669836385,-122.38474056,240.0,2
22ND AVE NW BETWEEN NW 57TH ST AND NW 58TH ST,Ballard,0.357,0.537,5.0,0,12,0,-1.438,-0.75,-2.0,12,decrease,Edge,47.67054627,-122.3847959,240.0,1
22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,Ballard,0.482,0.602,8.0,0,12,0,-1.0,-0.25,-1.75,18,decrease,Core,47.66908539,-122.38474401,120.0,2
22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,Ballard,0.471,0.687,16.0,0,12,0,-0.896,-0.25,-2.0,18,decrease,Edge,47.66714456,-122.38474335,240.0,2
24TH AVE NW BETWEEN NW 56TH ST AND NW 57TH ST,Ballard,0.186,0.417,1.0,0,12,0,-1.854,-1.25,-2.0,17,decrease,Edge,47.66983204,-122.38746554,240.0,1
24TH AVE NW BETWEEN NW 57TH ST AND NW 58TH ST,Ballard,0.357,0.488,10.0,0,12,0,-1.562,-1.0,-2.0,10,decrease,Edge,47.670550335,-122.387587345,240.0,2
24TH AVE NW BETWEEN NW 58TH ST AND NW 59TH ST,Ballard,0.392,0.494,10.0,0,12,0,-1.396,-1.0,-2.0,10,decrease,Edge,47.67127935,-122.387587305,240.0,2
24TH AVE NW BETWEEN NW 59TH ST AND NW 60TH ST,Ballard,0.116,0.204,5.0,0,12,0,-2.0,-2.0,-2.0,19,decrease,Edge,47.67200823,-122.38746542,240.0,1
BALLARD AVE NW BETWEEN 20TH AVE NW AND NW VERNON PL,Ballard,0.495,0.606,7.0,0,12,0,-0.854,-0.25,-2.0,13,decrease,Core,47.66598255,-122.382695995,120.0,2
BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,Ballard,0.438,0.595,33.0,0,12,0,-1.042,-0.5,-2.0,12,decrease,Core,47.66816215,-122.385613095,120.0,2
BALLARD AVE NW BETWEEN NW DOCK PL AND NW IONE PL,Ballard,0.519,0.77,7.0,0,10,2,-0.812,0.0,-2.0,19,decrease,Edge,47.66478037,-122.381283145,240.0,2
BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,Ballard,0.513,0.688,25.0,0,12,0,-0.75,-0.25,-2.0,18,decrease,Core,47.667058495000006,-122.383964045,120.0,2
BARNES AVE NW BETWEEN 17TH AVE NW AND NW MARKET ST,Ballard,0.403,0.593,25.0,0,12,0,-1.229,-0.5,-2.0,14,decrease,Edge,47.668073835,-122.3796459,240.0,2
LEARY AVE NW BETWEEN NW VERNON PL AND NW MARKET ST,Ballard,0.403,0.568,24.0,0,12,0,-1.333,-0.5,-2.0,18,decrease,Core,47.667815195,-122.38347606,120.0,2
NW 56TH ST BETWEEN 20TH AVE NW AND 22ND AVE NW,Ballard,0.3,0.638,28.0,0,12,0,-1.562,-0.25,-2.0,19,decrease,Edge,47.669444905000006,-122.383428605,240.0,2
NW 56TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,Ballard,0.479,0.583,23.0,0,12,0,-0.938,-0.5,-2.0,18,decrease,Edge,47.66945186,-122.38617205,240.0,2
NW 57TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,Ballard,0.436,0.57,26.0,0,12,0,-1.083,-0.5,-2.0,19,decrease,Edge,47.670164595,-122.386152855,240.0,2
NW 58TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,Ballard,0.204,0.291,23.0,0,12,0,-2.0,-2.0,-2.0,19,decrease,Edge,47.67087857,-122.38616303,240.0,1
NW MARKET ST BETWEEN 15TH AVE NW AND 17TH AVE NW,Ballard,0.275,0.345,5.0,0,12,0,-1.896,-1.75,-2.0,12,decrease,Edge,47.66858971,-122.37758407,240.0,1
NW MARKET ST BETWEEN 17TH AVE NW AND BARNES AVE NW,Ballard,0.379,0.457,17.0,0,12,0,-1.479,-1.0,-1.75,11,decrease,Edge,47.668672095,-122.379600845,240.0,2
NW MARKET ST BETWEEN 20TH AVE NW AND RUSSELL AVE NW,Ballard,0.644,0.798,4.0,0,8,4,-0.354,0.0,-1.5,19,decrease,Core,47.668676305000005,-122.382636,120.0,2
