region,hour_of_day,avg_predicted_occupancy,avg_spaces,current_rate,recommended_rate,rate_change,action,current_revenue,projected_revenue,revenue_delta,revenue_delta_pct
Ballard,8,0.175,229.0,1.5,0.5,-1.0,decrease,343.88,137.55,-206.33,-60.0
Ballard,9,0.293,229.0,1.5,0.5,-1.0,decrease,343.94,137.58,-206.36,-60.0
Ballard,10,0.415,229.0,1.5,0.5,-1.0,decrease,343.93,137.57,-206.36,-60.0
Ballard,11,0.479,229.0,1.5,0.5,-1.0,decrease,343.89,137.56,-206.33,-60.0
Ballard,12,0.518,229.0,1.5,0.75,-0.75,decrease,343.87,197.73,-146.14,-42.5
Ballard,13,0.551,229.0,1.5,1.0,-0.5,decrease,343.87,252.17,-91.7,-26.7
Ballard,14,0.526,229.0,1.5,0.75,-0.75,decrease,343.87,197.73,-146.14,-42.5
Ballard,15,0.502,229.0,1.5,0.75,-0.75,decrease,343.88,197.73,-146.15,-42.5
Ballard,16,0.484,229.0,1.5,0.5,-1.0,decrease,343.97,137.59,-206.38,-60.0
Ballard,17,0.494,229.0,1.5,0.5,-1.0,decrease,344.0,137.6,-206.4,-60.0
Ballard,18,0.557,229.0,1.5,1.0,-0.5,decrease,343.99,252.26,-91.73,-26.7
Ballard,19,0.561,229.0,1.5,1.0,-0.5,decrease,343.97,252.24,-91.72,-26.7
Capitol Hill,8,0.102,1069.0,2.0,0.5,-1.5,decrease,2138.08,694.87,-1443.2,-67.5
Capitol Hill,9,0.181,1080.0,2.0,0.5,-1.5,decrease,2160.85,702.28,-1458.57,-67.5
Capitol Hill,10,0.2,1080.0,2.0,0.5,-1.5,decrease,2159.37,701.79,-1457.57,-67.5
Capitol Hill,11,0.229,1080.0,2.0,0.5,-1.5,decrease,2159.99,702.0,-1457.99,-67.5
Capitol Hill,12,0.243,1080.0,2.0,0.5,-1.5,decrease,2160.71,702.23,-1458.48,-67.5
Capitol Hill,13,0.243,1080.0,2.0,0.5,-1.5,decrease,2159.67,701.89,-1457.78,-67.5
Capitol Hill,14,0.235,1080.0,2.0,0.5,-1.5,decrease,2160.3,702.1,-1458.2,-67.5
Capitol Hill,15,0.214,1082.0,2.0,0.5,-1.5,decrease,2163.53,703.15,-1460.39,-67.5
Capitol Hill,16,0.195,1080.0,2.0,0.5,-1.5,decrease,2160.82,702.27,-1458.56,-67.5
Capitol Hill,17,0.201,1080.0,2.0,0.5,-1.5,decrease,2159.41,701.81,-1457.6,-67.5
Capitol Hill,18,0.265,1080.0,2.0,0.5,-1.5,decrease,2159.94,701.98,-1457.96,-67.5
Capitol Hill,19,0.304,1080.0,2.0,0.5,-1.5,decrease,2159.95,701.98,-1457.97,-67.5
Capitol Hill,20,0.404,550.0,2.0,0.75,-1.25,decrease,1100.17,515.71,-584.47,-53.1
