paidparkingarea,hour_of_day,avg_occupancy,occupied_space_hours,target_space_hours,unsold_space_hours,spaces,n_blockfaces,revenue_per_posted_dollar
12th Avenue,8,0.1527,1.4897253368544932,7.783489238034694,6.299052640960919,9.729361547543366,7,1.49
12th Avenue,9,0.2557,2.5602331321995093,7.782293178519595,5.24579809378871,9.727866473149492,7,2.56
12th Avenue,10,0.317,3.1657541602476464,7.781501632208924,4.650632096779106,9.726877040261153,7,3.17
12th Avenue,11,0.3722,3.6410973501207673,7.781303835343188,4.18913743415814,9.726629794178983,7,3.64
12th Avenue,12,0.438,4.166309376519275,7.780710659898477,3.7066598458951185,9.725888324873097,7,4.17
12th Avenue,13,0.4377,4.185727881855706,7.781303835343188,3.679586303549097,9.726629794178983,7,4.19
12th Avenue,14,0.3783,3.677492135499808,7.782689167120305,4.148692405583025,9.72836145890038,7,3.68
12th Avenue,15,0.325,3.2297230574750144,7.782491154858025,4.57370666626685,9.72811394357253,7,3.23
12th Avenue,16,0.3444,3.505531914307802,7.780513006435241,4.313001145801092,9.72564125804405,7,3.51
12th Avenue,17,0.4316,4.410770549822237,7.780598368087037,3.4795038936604357,9.725747960108794,7,4.41
12th Avenue,18,0.5423,5.365428597207009,7.780598368087037,2.643509748455654,9.725747960108794,7,5.37
12th Avenue,19,0.5637,5.4784323202588,7.780598368087037,2.565743034678751,9.725747960108794,7,5.48
15th Avenue E,8,0.2561,1.6663868272598203,6.1639268080162655,4.509766997616049,7.704908510020331,10,1.67
15th Avenue E,9,0.3901,2.7316088624343897,6.163915435852881,3.5034964341172983,7.704894294816102,10,2.73
15th Avenue E,10,0.4027,2.933401206499664,6.163915435852881,3.278966303275912,7.704894294816102,10,2.93
15th Avenue E,11,0.4144,3.0734118865690245,6.163915435852881,3.142899273410017,7.704894294816102,10,3.07
15th Avenue E,12,0.4098,3.118611664825858,6.163915435852881,3.0943296140820187,7.704894294816102,10,3.12
15th Avenue E,13,0.4374,3.2821574889632807,6.163915435852881,2.936863347247811,7.704894294816102,10,3.28
15th Avenue E,14,0.431,3.207574891202401,6.162594093804286,3.002785106852687,7.7032426172553565,10,3.21
15th Avenue E,15,0.4114,3.057477358724976,6.162594093804286,3.1476762775437646,7.7032426172553565,10,3.06
15th Avenue E,16,0.4094,3.0870407464797447,6.162594093804286,3.1193205925248733,7.7032426172553565,10,3.09
15th Avenue E,17,0.4078,3.230743983435143,6.162594093804286,2.9774393053213943,7.7032426172553565,10,3.23
15th Avenue E,18,0.4722,3.6659313774330813,6.162594093804286,2.5863958465120374,7.7032426172553565,10,3.67
15th Avenue E,19,0.4882,3.68499862859088,6.162594093804286,2.5709693045774626,7.7032426172553565,10,3.68
Ballard,8,0.1647,2.644819394930462,12.466455494377009,9.826122563775387,15.583069367971257,34,2.64
Ballard,9,0.3137,4.936696510288425,12.463433279537925,7.611494605226826,15.579291599422406,34,4.94
Ballard,10,0.4303,6.785075473462697,12.462962097887251,5.8694769441031065,15.578702622359062,34,6.79
Ballard,11,0.5056,7.989853274732568,12.462131634819533,4.747936063620891,15.577664543524417,34,7.99
Ballard,12,0.5614,8.771753701630544,12.461927813163483,4.0614059928655895,15.577409766454352,34,8.77
Ballard,13,0.5772,9.106737302503891,12.461930442906281,3.782399199214803,15.577413053632851,34,9.11
Ballard,14,0.5615,8.895026884049054,12.461816097322775,3.96500136222078,15.577270121653468,34,8.9
Ballard,15,0.5466,8.637409594145316,12.461961783439492,4.181685612517308,15.577452229299363,34,8.64
Ballard,16,0.5415,8.470434444144859,12.462063694267517,4.304102094657834,15.577579617834395,34,8.47
Ballard,17,0.5581,8.623471639667112,12.46037479284409,4.22532488381829,15.575468491055114,34,8.62
Ballard,18,0.6029,9.2523187988906,12.46006628707402,3.766623520405077,15.575082858842526,34,9.25
Ballard,19,0.6023,9.20352355512693,12.459927767155301,3.811457494959031,15.574909708944126,34,9.2
Ballard Blocks,8,0.103,2.2205017094391706,18.666666666666668,16.4461649572275,23.333333333333332,3,2.22
Ballard Blocks,9,0.1869,4.137329296533826,18.666666666666668,14.52933737013284,23.333333333333332,3,4.14
Ballard Blocks,10,0.2933,5.550376906376421,18.666666666666668,13.12140087140136,23.333333333333332,3,5.55
Ballard Blocks,11,0.3209,6.035108714213043,18.666666666666668,12.652891285786959,23.333333333333332,3,6.04
Ballard Blocks,12,0.3192,5.4962904427019,18.666666666666668,13.18427786330903,23.333333333333332,3,5.5
Ballard Blocks,13,0.2979,5.522211302971154,18.666666666666668,13.145788697028847,23.333333333333332,3,5.52
Ballard Blocks,14,0.2998,5.233208818522253,18.666666666666668,13.446124514811082,23.333333333333332,3,5.23
Ballard Blocks,15,0.299,5.212382088733172,18.666666666666668,13.47961791126683,23.333333333333332,3,5.21
Ballard Blocks,16,0.2912,5.3830883730485715,18.666666666666668,13.293578293618095,23.333333333333332,3,5.38
Ballard Blocks,17,0.2338,4.771480700297279,18.666666666666668,13.895185966369388,23.333333333333332,3,4.77
Ballard Blocks,18,0.1772,3.602151153903187,18.666666666666668,15.064515512763483,23.333333333333332,3,3.6
Ballard Blocks,19,0.1057,2.34177716553589,18.666666666666668,16.324889501130777,23.333333333333332,3,2.34
Ballard Locks,8,0.0093,0.5711062493263706,26.71854103343465,26.14743478410828,33.39817629179331,2,0.57
Ballard Locks,9,0.0294,1.8546615483748474,26.749797570850205,24.895136022475356,33.43724696356275,2,1.85
Ballard Locks,10,0.0787,5.0025001857148155,26.749797570850205,21.789335171910018,33.43724696356275,2,5.0
Ballard Locks,11,0.1493,8.795658776012894,26.749797570850205,18.209229788724745,33.43724696356275,2,8.8
Ballard Locks,12,0.2011,10.94722337331141,26.749797570850205,16.184979730602223,33.43724696356275,2,10.95
Ballard Locks,13,0.2298,11.813533771376738,26.749797570850205,15.460016869095817,33.43724696356275,2,11.81
Ballard Locks,14,0.2436,12.102372468383004,26.749797570850205,15.250013741897943,33.43724696356275,2,12.1
Ballard Locks,15,0.2346,11.470326829710537,26.749797570850205,15.793471783956498,33.43724696356275,2,11.47
Ballard Locks,16,0.1967,9.66929358494772,26.749797570850205,17.389883203176435,33.43724696356275,2,9.67
Ballard Locks,17,0.1445,7.628053615867474,26.749797570850205,19.248453150342336,33.43724696356275,2,7.63
Ballard Locks,18,0.175,10.976633959966403,31.010071942446046,20.095449549696458,38.76258992805755,2,10.98
Ballard Locks,19,0.1479,9.458261531382263,31.010071942446046,21.551810411063784,38.76258992805755,2,9.46
Belltown,8,0.2282,2.8312764167498905,10.074116310055647,7.254284858619049,12.592645387569558,136,2.83
Belltown,9,0.3537,4.400714855572336,10.048933127285643,5.702637440531344,12.561166409107052,136,4.4
Belltown,10,0.4529,5.677595490775538,10.048625614250614,4.517298307790076,12.560782017813267,136,5.68
Belltown,11,0.5164,6.506876172553177,10.048214208594256,3.783499377327959,12.56026776074282,136,6.51
Belltown,12,0.5163,6.512096938217849,10.047966679942228,3.7349939296231285,12.559958349927784,136,6.51
Belltown,13,0.5093,6.440107102971129,10.048092130518235,3.800570958712841,12.560115163147792,136,6.44
Belltown,14,0.4702,5.9620106884141,10.048220035220224,4.225507907326256,12.560275044025278,136,5.96
Belltown,15,0.4394,5.604524711454254,10.083040104431069,4.604931271362038,12.603800130538835,136,5.6
Belltown,16,0.4266,5.436553562140755,10.07856821163524,4.759342412045614,12.598210264544049,136,5.44
Belltown,17,0.4387,5.564609768318181,10.077478882008894,4.656982429174871,12.596848602511116,136,5.56
Belltown,18,0.4641,5.873041391427096,10.073156958304326,4.380413864527243,12.591446197880405,136,5.87
Belltown,19,0.4686,5.91127095589407,10.047256232340901,4.324559582536334,12.559070290426124,136,5.91
Capitol Hill,8,0.1465,1.9476682524554187,10.652025368248774,8.70711930570066,13.315031710310965,26,1.95
Capitol Hill,9,0.2499,3.360366140167372,10.651967699069816,7.306619663314314,13.314959623837268,26,3.36
Capitol Hill,10,0.3134,4.299021136203978,10.65130943560132,6.392219684305338,13.314136794501648,26,4.3
Capitol Hill,11,0.3658,5.029494892973782,10.651567570329867,5.704887039492999,13.314459462912334,26,5.03
Capitol Hill,12,0.3929,5.380716619120763,10.651057741440981,5.359632761671123,13.313822176801226,26,5.38
Capitol Hill,13,0.3913,5.411126417539124,10.651717089125103,5.330367650866327,13.314646361406378,26,5.41
Capitol Hill,14,0.3722,5.1290786648418045,10.65139761868261,5.592170248114413,13.314247023353262,26,5.13
Capitol Hill,15,0.3477,4.774387128798424,10.650371694980203,5.934609926915025,13.312964618725251,26,4.77
Capitol Hill,16,0.3463,4.689586679559373,10.649203105843892,6.015936586173937,13.311503882304864,26,4.69
Capitol Hill,17,0.3897,5.201144738396156,10.64863097670617,5.5252912487428265,13.310788720882714,26,5.2
Capitol Hill,18,0.4882,6.530920552895137,10.648182862980462,4.3238965638034,13.310228578725578,26,6.53
Capitol Hill,19,0.5461,7.3311375454609955,10.648182862980462,3.6750772145840793,13.310228578725578,26,7.33
Cherry Hill,8,0.1295,1.5911210346109317,10.604464285714286,9.013343251103354,13.255580357142858,4,1.59
Cherry Hill,9,0.1839,2.2963536284164237,10.604461440407905,8.308564578509431,13.255576800509878,4,2.3
Cherry Hill,10,0.1762,2.203550730177097,10.604461440407905,8.401271874454302,13.255576800509878,4,2.2
Cherry Hill,11,0.1738,2.1611420199641334,10.604461440407905,8.443746975149528,13.255576800509878,4,2.16
