date,occupied_space_hours,target_space_hours,unsold_space_hours,capacity_space_hours,avg_occupancy,n_blockfaces,utilization_pct,gap_to_target_pct,revenue_per_posted_dollar
2026-07-30,39077.00155857491,97276.8,58724.022912311884,121596,0.3185,945,32.1,60.4,39077.0
2026-07-31,39164.44926023229,96988.0,58332.19217595428,121235,0.3202,941,32.3,60.1,39164.4
2026-08-01,37947.535490541304,92936.0,55691.84284279204,116170,0.3294,920,32.7,59.9,37947.5
2026-08-03,37795.48445431967,97148.0,59929.444839728516,121435,0.3124,943,31.1,61.7,37795.5
2026-08-04,37782.28271424319,96995.20000000001,59744.90039717736,121244,0.3125,939,31.2,61.6,37782.3
2026-08-05,38980.05041861927,97308.0,58805.18159427145,121635,0.3182,942,32.0,60.4,38980.1
2026-08-06,38951.79814885364,96640.0,58198.79512194964,120800,0.3205,943,32.2,60.2,38951.8
2026-08-07,40032.85766553751,96311.20000000001,56829.05492110277,120389,0.3342,941,33.3,59.0,40032.9
2026-08-08,37599.29718572697,92195.20000000001,55280.55597292233,115244,0.3332,911,32.6,60.0,37599.3
2026-08-10,36276.64515272724,97027.20000000001,61188.26735839872,121284,0.2968,944,29.9,63.1,36276.6
2026-08-11,36998.905252935634,96830.40000000001,60275.36978013316,121038,0.3015,941,30.6,62.2,36998.9
2026-08-12,39514.47430023777,96849.6,57914.72706882313,121062,0.3208,942,32.6,59.8,39514.5
